SaanichInlet_200m.155	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__;g__;s__
SaanichInlet_200m.107	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__;g__;s__
SaanichInlet_200m.219	d__Bacteria;p__Patescibacteria;c__Microgenomatia;o__UBA1400;f__Pacebacteraceae;g__;s__
SaanichInlet_200m.188	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__Moranbacterales;f__UBA2193;g__;s__
SaanichInlet_200m.138	d__Bacteria;p__Patescibacteria;c__ABY1;o__Magasanikibacterales;f__UBA922;g__;s__
SaanichInlet_200m.11	d__Bacteria;p__Patescibacteria;c__ABY1;o__Komeilibacterales;f__UBA10009;g__;s__
SaanichInlet_200m.25	d__Bacteria;p__Patescibacteria;c__ABY1;o__Komeilibacterales;f__;g__;s__
SaanichInlet_200m.133	d__Bacteria;p__Patescibacteria;c__ABY1;o__Komeilibacterales;f__GWA2-36-10;g__;s__
SaanichInlet_200m.79	d__Bacteria;p__Patescibacteria;c__Gracilibacteria;o__Peregrinibacterales;f__;g__;s__
SaanichInlet_200m.109	d__Bacteria;p__Patescibacteria;c__Gracilibacteria;o__;f__;g__;s__
SaanichInlet_200m.208	d__Bacteria;p__Patescibacteria;c__Gracilibacteria;o__BD1-5;f__UBA6164;g__UBA6164;s__
SaanichInlet_200m.121	d__Bacteria;p__Elusimicrobiota;c__Elusimicrobia;o__Elusimicrobiales;f__;g__;s__
SaanichInlet_200m.98	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__SG8-23;f__UBA6960;g__;s__
SaanichInlet_200m.13	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prolixibacteraceae;g__;s__
SaanichInlet_200m.91	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__;g__;s__
SaanichInlet_200m.36	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Cryomorphaceae;g__;s__
SaanichInlet_200m.166	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__1G12;g__SHAN690;s__
SaanichInlet_200m.129	d__Bacteria;p__Bacteroidota;c__;o__;f__;g__;s__
SaanichInlet_200m.186	d__Bacteria;p__Marinisomatota;c__Marinisomatia;o__Marinisomatales;f__UBA8229;g__;s__
SaanichInlet_200m.26	d__Bacteria;p__Dependentiae;c__Babeliae;o__Babeliales;f__UBA12409;g__;s__
SaanichInlet_200m.211	d__Bacteria;p__SAR324;c__SAR324;o__XYD2-FULL-50-16;f__XYD2-FULL-50-16;g__;s__
SaanichInlet_200m.66	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Amylibacter;s__
SaanichInlet_200m.97	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sneathiellales;f__;g__;s__
SaanichInlet_200m.212	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__UBA6615;f__UBA6615;g__;s__
SaanichInlet_200m.126	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__;f__;g__;s__
SaanichInlet_200m.9	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__UBA7916;f__;g__;s__
SaanichInlet_200m.145	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__;f__;g__;s__
SaanichInlet_200m.179	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__Methyloprofundus;s__
SaanichInlet_200m.134	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiomicrospirales;f__Thioglobaceae;g__;s__
SaanichInlet_200m.185	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__Nitrosomonadaceae;g__;s__
SaanichInlet_200m.62	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Berkiellales;f__;g__;s__
SaanichInlet_200m.169	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudohongiellaceae;g__UBA9145;s__
SaanichInlet_200m.28	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__HTCC2089;g__;s__
SaanichInlet_200m.124	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__HTCC2089;g__UBA9659;s__
