pathway,ko
ko00910,K00260
ko00910,K00261
ko00910,K00262
ko00910,K00264
ko00910,K00265
ko00910,K00266
ko00910,K00284
ko00910,K00360
ko00910,K00362
ko00910,K00363
ko00910,K00366
ko00910,K00367
ko00910,K00368
ko00910,K00370
ko00910,K00371
ko00910,K00372
ko00910,K00374
ko00910,K00376
ko00910,K00459
ko00910,K00531
ko00910,K00926
ko00910,K01455
ko00910,K01501
ko00910,K01672
ko00910,K01673
ko00910,K01674
ko00910,K01725
ko00910,K01915
ko00910,K01948
ko00910,K02305
ko00910,K02567
ko00910,K02568
ko00910,K02575
ko00910,K02586
ko00910,K02588
ko00910,K02591
ko00910,K03385
ko00910,K04561
ko00910,K05601
ko00910,K10534
ko00910,K10535
ko00910,K10944
ko00910,K10945
ko00910,K10946
ko00910,K15371
ko00910,K15576
ko00910,K15577
ko00910,K15578
ko00910,K15579
ko00910,K15864
ko00910,K15876
ko00910,K15877
ko00910,K17877
ko00910,K18245
ko00910,K18246
ko00910,K19823
ko00910,K20932
ko00910,K20933
ko00910,K20934
ko00910,K20935
ko00910,K22896
ko00910,K22897
ko00910,K22898
ko00910,K22899
